Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Iterations,RamKilobytes,Mean,Error,StdDev,Median,Gen 0,Completed Work Items,Lock Contentions,Gen 1,Gen 2,Allocated
GetHashAsync,Job-RDFKRE,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,2,65536,55.02 ms,1.094 ms,2.683 ms,54.09 ms,1000.0000,40.0000,0.0000,1000.0000,1000.0000,65 MB
GetHashAsync,Job-RDFKRE,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,2,69632,55.31 ms,0.722 ms,0.564 ms,55.15 ms,1000.0000,40.0000,0.0000,1000.0000,1000.0000,69 MB
GetHashAsync,Job-RDFKRE,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,2,73728,66.05 ms,2.829 ms,8.341 ms,61.80 ms,1000.0000,40.0000,0.0000,1000.0000,1000.0000,73 MB
GetHashAsync,Job-RDFKRE,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,2,77824,69.06 ms,2.727 ms,7.955 ms,65.23 ms,1000.0000,40.0000,0.0000,1000.0000,1000.0000,77 MB
GetHashAsync,Job-RDFKRE,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,2,81920,71.51 ms,2.754 ms,8.032 ms,67.61 ms,1000.0000,40.0000,0.0000,1000.0000,1000.0000,81 MB
GetHashAsync,Job-RDFKRE,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,2,86016,69.32 ms,1.339 ms,1.645 ms,68.85 ms,1000.0000,40.0000,0.0000,1000.0000,1000.0000,85 MB
GetHashAsync,Job-RDFKRE,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,2,90112,80.26 ms,3.513 ms,10.302 ms,74.81 ms,1000.0000,40.0000,0.0000,1000.0000,1000.0000,89 MB
GetHashAsync,Job-RDFKRE,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,2,94208,83.76 ms,3.839 ms,11.199 ms,77.94 ms,1000.0000,40.0000,0.0000,1000.0000,1000.0000,93 MB
GetHashAsync,Job-RDFKRE,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,2,98304,82.85 ms,2.478 ms,6.698 ms,80.26 ms,1000.0000,40.0000,0.0000,1000.0000,1000.0000,97 MB
GetHashAsync,Job-RDFKRE,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,2,102400,88.70 ms,3.584 ms,10.569 ms,83.27 ms,1000.0000,41.0000,0.0000,1000.0000,1000.0000,101 MB
